epoch,accuracy,loss,val_accuracy,val_loss
0,0.8385624885559082,1.179689884185791,0.9321666955947876,0.27057021856307983
1,0.9175000190734863,0.30444493889808655,0.9474166631698608,0.19413329660892487
2,0.9383124709129333,0.21724334359169006,0.9559166431427002,0.17692048847675323
3,0.9489166736602783,0.17835286259651184,0.968833327293396,0.12927797436714172
4,0.9571666717529297,0.15066659450531006,0.96875,0.12366148084402084
5,0.9612500071525574,0.1326761543750763,0.968416690826416,0.13999322056770325
6,0.963937520980835,0.13159094750881195,0.9700000286102295,0.12107472866773605
7,0.9665833115577698,0.11455570161342621,0.9680833220481873,0.16892030835151672
8,0.968458354473114,0.10927366465330124,0.9695000052452087,0.13693775236606598
9,0.9705208539962769,0.10269543528556824,0.9744166731834412,0.14137279987335205
10,0.972083330154419,0.09733516722917557,0.9725000262260437,0.13852263987064362
11,0.973395824432373,0.09559030830860138,0.9749166369438171,0.1524800956249237
12,0.9746458530426025,0.09002666175365448,0.9739166498184204,0.1378515064716339
13,0.9729583263397217,0.09773851186037064,0.9727500081062317,0.13796083629131317
14,0.9771875143051147,0.08317267149686813,0.9729999899864197,0.12926799058914185
15,0.9788125157356262,0.07558369636535645,0.9756666421890259,0.12623001635074615
16,0.9758958220481873,0.08926761895418167,0.9779166579246521,0.13948968052864075
17,0.9801458120346069,0.07041401416063309,0.9769999980926514,0.1209976077079773
18,0.9808333516120911,0.07282047718763351,0.9749166369438171,0.14170409739017487
19,0.9796249866485596,0.08154014497995377,0.9754166603088379,0.15357279777526855
